code,nom,region_administrative,latitude,longitude,altitude
gin_beyla,Beyla,Nzérékoré,8.68981,-8.64816,
gin_boffa,Boffa,Boké,10.16667,-14.03333,
gin_boke_centre,Boke,Boké,10.93139,-14.28917,
gin_conakry_kaloum,Kaloum,Conakry,9.50917,-13.71222,6
gin_coyah,Coyah,Kindia,9.7,-13.383333,
gin_dabola,Dabola,Faranah,10.75,-11.1167,
gin_dalaba,Dalaba,Mamou,10.69167,-12.25,
gin_dinguiraye,Dinguiraye,Faranah,11.290556,-10.712222,
gin_dubreka,Dubreka,Kindia,9.789722,-13.498889,
gin_faranah_centre,Faranah,Faranah,10.033333,-10.733333,
gin_forecariah,Forecariah,Kindia,9.4325,-13.0807,
gin_fria,Fria,Boké,10.36676,-13.58253,
gin_gaoual,Gaoual,Boké,11.75,-13.2,
gin_gueckedou,Gueckedou,Nzérékoré,8.56667,-10.13333,
gin_kankan,Kankan,Kankan,10.38333333,-9.3,381
gin_kerouane,Kerouane,Kankan,9.26667,-9.01667,
gin_kindia,Kindia,Kindia,10.04972222,-12.85416667,368
gin_kissidougou,Kissidougou,Faranah,9.183333,-10.1,
gin_koubia,Koubia,Labé,11.583333,-11.9,
gin_koundara,Koundara,Boké,12.48333,-13.3,
gin_kouroussa,Kouroussa,Kankan,10.65,-9.88333,
gin_labe,Labé,Labé,11.31666667,-12.28333333,1025
gin_lelouma,Lelouma,Labé,11.4257,-12.6828,
gin_lola,Lola,Nzérékoré,7.7997,-8.5286,
gin_macenta,Macenta,Nzérékoré,8.55,-9.466667,
gin_mali,Mali,Labé,12.083333,-12.3,
gin_mamou,Mamou,Mamou,10.38333333,-12.08333333,746
gin_mandiana,Mandiana,Kankan,10.63333,-8.68333,
gin_nzerekore,Nzérékoré,Nzérékoré,7.75222222,-8.82166667,480
gin_pita,Pita,Mamou,11.0596,-12.3956,
gin_siguiri,Siguiri,Kankan,11.41889,-9.16444,
gin_telimele,Telimele,Kindia,10.9,-13.0333,
gin_tougue,Tougue,Labé,11.44503,-11.66422,
gin_yomou,Yomou,Nzérékoré,7.566,-9.2533,
